,abbrev,name,nickname,id,playoffSeed,rankCalculatedFinal,points,wins,losses,wins,percentage,pointsAgainst,streakLength,streakType,acquisitions,moveToActive,trades,moveToIR,valuesByStat
0,CORR,Team Corr,Corr,1,1,2,1567.28,9,4,9,0.6923076923076923,1307.5,4,WIN,21,66,0,2,"{'128': 0.0, '129': 1.0, '130': 5.0, '3': 4494.0, '4': 40.0, '132': 1.0, '133': 3.0, '134': 2.0, '135': 0.0, '136': 0.0, '17': 5.0, '18': 1.0, '19': 1.0, '20': 13.0, '24': 5159.0, '25': 47.0, '26': 1.0, '37': 16.0, '38': 4.0, '42': 3646.0, '43': 27.0, '44': 2.0, '53': 343.0, '56': 6.0, '57': 0.0, '63': 0.0, '198': 5.0, '72': 13.0, '200': 1.0, '201': 0.0, '203': 0.0, '77': 11.0, '206': 0.0, '79': 3.0, '80': 19.0, '209': 0.0, '82': 0.0, '85': 4.0, '86': 39.0, '89': 0.0, '90': 2.0, '91': 2.0, '92': 3.0, '93': 0.0, '95': 21.0, '96': 8.0, '97': 3.0, '98': 0.0, '99': 36.0, '101': 0.0, '102': 0.0, '103': 2.0, '104': 2.0, '123': 1.0, '124': 1.0, '125': 0.0}"
1,MOSC,Gallagher Pipelayers Inc.,Pipelayers Inc.,2,6,8,1436.22,6,7,6,0.46153846153846156,1346.54,1,WIN,27,40,0,1,"{'128': 0.0, '129': 0.0, '130': 2.0, '3': 4172.0, '4': 29.0, '132': 5.0, '133': 3.0, '134': 0.0, '135': 0.0, '136': 0.0, '17': 2.0, '18': 1.0, '19': 1.0, '20': 14.0, '24': 3236.0, '25': 34.0, '26': 3.0, '37': 10.0, '38': 1.0, '42': 3354.0, '43': 25.0, '44': 0.0, '53': 301.0, '56': 4.0, '57': 0.0, '63': 0.0, '198': 1.0, '72': 9.0, '200': 1.0, '201': 0.0, '203': 0.0, '77': 4.0, '206': 0.0, '79': 1.0, '80': 6.0, '209': 0.0, '82': 2.0, '85': 4.0, '86': 43.0, '89': 0.0, '90': 0.0, '91': 0.0, '92': 3.0, '93': 0.0, '95': 5.0, '96': 6.0, '97': 3.0, '98': 0.0, '99': 44.0, '101': 0.0, '102': 0.0, '103': 0.0, '104': 2.0, '123': 2.0, '124': 2.0, '125': 0.0}"
2,SMIT,Team Smith,Smith,3,8,10,1474.8599999999997,5,8,5,0.38461538461538464,1563.6600000000003,1,LOSS,6,14,0,0,"{'128': 0.0, '129': 2.0, '130': 3.0, '3': 4188.0, '4': 45.0, '132': 6.0, '133': 3.0, '134': 1.0, '135': 1.0, '136': 0.0, '17': 4.0, '18': 0.0, '19': 0.0, '20': 6.0, '24': 1864.0, '25': 22.0, '26': 0.0, '37': 2.0, '38': 0.0, '42': 4995.0, '43': 52.0, '44': 1.0, '53': 405.0, '56': 15.0, '57': 1.0, '63': 0.0, '198': 1.0, '72': 6.0, '200': 5.0, '201': 0.0, '203': 0.0, '77': 5.0, '206': 0.0, '79': 3.0, '80': 14.0, '209': 0.0, '82': 1.0, '85': 9.0, '86': 31.0, '89': 0.0, '90': 0.0, '91': 4.0, '92': 0.0, '93': 0.0, '95': 12.0, '96': 5.0, '97': 0.0, '98': 2.0, '99': 32.0, '101': 1.0, '102': 0.0, '103': 3.0, '104': 0.0, '123': 1.0, '124': 2.0, '125': 0.0}"
3,BAKE,Costco Chicken Bakes,Chicken Bakes,4,10,7,1324.94,4,9,4,0.3076923076923077,1447.2,1,WIN,21,57,2,2,"{'128': 0.0, '129': 0.0, '130': 7.0, '3': 5111.0, '4': 42.0, '132': 3.0, '133': 1.0, '134': 1.0, '135': 0.0, '136': 0.0, '17': 8.0, '18': 2.0, '19': 3.0, '20': 6.0, '24': 1874.0, '25': 6.0, '26': 2.0, '37': 1.0, '38': 0.0, '42': 4352.0, '43': 28.0, '44': 0.0, '53': 401.0, '56': 10.0, '57': 0.0, '63': 0.0, '198': 3.0, '72': 4.0, '200': 1.0, '201': 0.0, '203': 1.0, '77': 9.0, '206': 0.0, '79': 0.0, '80': 16.0, '209': 0.0, '82': 1.0, '85': 3.0, '86': 56.0, '89': 0.0, '90': 1.0, '91': 2.0, '92': 2.0, '93': 0.0, '95': 18.0, '96': 9.0, '97': 0.0, '98': 1.0, '99': 59.0, '101': 0.0, '102': 0.0, '103': 3.0, '104': 0.0, '123': 2.0, '124': 0.0, '125': 0.0}"
4,HYLA,Team Trogs,Trogs,5,5,6,1343.5600000000002,7,6,7,0.5384615384615384,1376.48,3,LOSS,30,60,0,3,"{'128': 0.0, '129': 2.0, '130': 7.0, '3': 3476.0, '4': 18.0, '132': 3.0, '133': 0.0, '134': 2.0, '135': 1.0, '136': 0.0, '17': 6.0, '18': 0.0, '19': 1.0, '20': 7.0, '24': 1852.0, '25': 23.0, '26': 0.0, '37': 2.0, '38': 0.0, '42': 4866.0, '43': 35.0, '44': 0.0, '53': 427.0, '56': 8.0, '57': 1.0, '63': 0.0, '198': 0.0, '72': 7.0, '200': 1.0, '201': 0.0, '203': 0.0, '77': 13.0, '206': 0.0, '79': 0.0, '80': 16.0, '209': 0.0, '82': 0.0, '85': 1.0, '86': 41.0, '89': 0.0, '90': 2.0, '91': 4.0, '92': 4.0, '93': 0.0, '95': 17.0, '96': 6.0, '97': 2.0, '98': 2.0, '99': 44.0, '101': 0.0, '102': 0.0, '103': 2.0, '104': 0.0, '123': 3.0, '124': 2.0, '125': 0.0}"
5,GALL,Team Gallagher,Gallagher,6,7,5,1359.1000000000001,6,7,6,0.46153846153846156,1442.5,1,LOSS,8,34,0,1,"{'128': 0.0, '129': 0.0, '130': 7.0, '3': 4915.0, '4': 27.0, '132': 4.0, '133': 3.0, '134': 1.0, '135': 0.0, '136': 0.0, '17': 5.0, '18': 1.0, '19': 1.0, '20': 10.0, '24': 2331.0, '25': 19.0, '26': 1.0, '37': 6.0, '38': 0.0, '42': 5547.0, '43': 36.0, '44': 2.0, '53': 496.0, '56': 19.0, '57': 0.0, '63': 0.0, '198': 3.0, '72': 7.0, '200': 1.0, '201': 0.0, '203': 0.0, '77': 6.0, '206': 0.0, '79': 2.0, '80': 10.0, '209': 0.0, '82': 0.0, '85': 3.0, '86': 38.0, '89': 0.0, '90': 1.0, '91': 3.0, '92': 2.0, '93': 0.0, '95': 14.0, '96': 6.0, '97': 1.0, '98': 1.0, '99': 31.0, '101': 1.0, '102': 0.0, '103': 0.0, '104': 0.0, '123': 2.0, '124': 3.0, '125': 0.0}"
6,Park,Jameis Winston QB1,QB1,7,3,3,1490.96,8,5,8,0.6153846153846154,1402.6999999999998,3,WIN,40,70,2,0,"{'128': 0.0, '129': 1.0, '130': 5.0, '3': 4240.0, '4': 25.0, '132': 3.0, '133': 4.0, '134': 1.0, '135': 0.0, '136': 0.0, '17': 4.0, '18': 1.0, '19': 2.0, '20': 15.0, '24': 3659.0, '25': 33.0, '26': 0.0, '37': 7.0, '38': 0.0, '42': 4678.0, '43': 29.0, '44': 1.0, '53': 417.0, '56': 13.0, '57': 1.0, '63': 0.0, '198': 3.0, '72': 5.0, '200': 1.0, '201': 0.0, '203': 0.0, '77': 4.0, '206': 0.0, '79': 0.0, '80': 20.0, '209': 0.0, '82': 1.0, '85': 2.0, '86': 47.0, '89': 1.0, '90': 0.0, '91': 2.0, '92': 3.0, '93': 1.0, '95': 10.0, '96': 14.0, '97': 1.0, '98': 1.0, '99': 46.0, '101': 0.0, '102': 0.0, '103': 2.0, '104': 0.0, '123': 3.0, '124': 2.0, '125': 0.0}"
7,OGES,The Ogreâ€™s Swamp,Swamp,8,2,1,1535.84,8,5,8,0.6153846153846154,1455.92,3,WIN,32,76,1,0,"{'128': 0.0, '129': 2.0, '130': 5.0, '3': 4451.0, '4': 35.0, '132': 4.0, '133': 3.0, '134': 0.0, '135': 0.0, '136': 0.0, '17': 1.0, '18': 3.0, '19': 3.0, '20': 10.0, '24': 3408.0, '25': 31.0, '26': 1.0, '37': 5.0, '38': 0.0, '42': 5311.0, '43': 38.0, '44': 2.0, '53': 481.0, '56': 15.0, '57': 0.0, '63': 0.0, '198': 3.0, '72': 19.0, '200': 1.0, '201': 0.0, '203': 0.0, '77': 2.0, '206': 0.0, '79': 3.0, '80': 26.0, '209': 0.0, '82': 0.0, '85': 4.0, '86': 51.0, '89': 0.0, '90': 3.0, '91': 3.0, '92': 3.0, '93': 0.0, '95': 12.0, '96': 10.0, '97': 0.0, '98': 1.0, '99': 45.0, '101': 0.0, '102': 0.0, '103': 0.0, '104': 2.0, '123': 3.0, '124': 0.0, '125': 0.0}"
8,GALL,Perpetual Excellence ,Excellence ,9,4,4,1344.3400000000001,7,6,7,0.5384615384615384,1472.1999999999998,2,LOSS,42,73,1,0,"{'128': 0.0, '129': 1.0, '130': 5.0, '3': 4312.0, '4': 32.0, '132': 4.0, '133': 1.0, '134': 1.0, '135': 0.0, '136': 0.0, '17': 4.0, '18': 1.0, '19': 0.0, '20': 9.0, '24': 3132.0, '25': 29.0, '26': 0.0, '37': 5.0, '38': 0.0, '42': 3332.0, '43': 28.0, '44': 2.0, '53': 333.0, '56': 6.0, '57': 0.0, '63': 0.0, '198': 6.0, '72': 12.0, '200': 1.0, '201': 0.0, '203': 0.0, '77': 3.0, '206': 0.0, '79': 2.0, '80': 19.0, '209': 0.0, '82': 0.0, '85': 3.0, '86': 46.0, '89': 0.0, '90': 1.0, '91': 4.0, '92': 1.0, '93': 0.0, '95': 7.0, '96': 9.0, '97': 1.0, '98': 2.0, '99': 43.0, '101': 0.0, '102': 0.0, '103': 1.0, '104': 1.0, '123': 2.0, '124': 2.0, '125': 0.0}"
9,GANN,Team Gannett,Gannett,10,9,9,1293.88,5,8,5,0.38461538461538464,1356.2800000000002,3,LOSS,12,46,0,4,"{'128': 0.0, '129': 2.0, '130': 4.0, '3': 5137.0, '4': 39.0, '132': 4.0, '133': 3.0, '134': 0.0, '135': 1.0, '136': 0.0, '17': 10.0, '18': 0.0, '19': 1.0, '20': 12.0, '24': 2252.0, '25': 19.0, '26': 2.0, '37': 5.0, '38': 0.0, '42': 3992.0, '43': 27.0, '44': 2.0, '53': 372.0, '56': 6.0, '57': 0.0, '63': 0.0, '198': 1.0, '72': 8.0, '200': 4.0, '201': 0.0, '203': 0.0, '77': 8.0, '206': 0.0, '79': 1.0, '80': 20.0, '209': 0.0, '82': 0.0, '85': 5.0, '86': 47.0, '89': 0.0, '90': 0.0, '91': 3.0, '92': 2.0, '93': 0.0, '95': 17.0, '96': 12.0, '97': 1.0, '98': 2.0, '99': 50.0, '101': 0.0, '102': 0.0, '103': 1.0, '104': 0.0, '123': 1.0, '124': 1.0, '125': 0.0}"
